"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024","registry_discrepancy","likely_reason","already_researched","existing_contact"
"QUICK SQUADMULTI-PURPOSE COOPERATIVE LIMITED","critical_battery","1","1","7","Manganese/Quartz/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Rufunsa Green Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Manganese/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Risers Mining Cooperative Society Limited","critical_battery","1","1","7","Lead/Manganese/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"ECO MINING CO-OPERATIVE SOCIETY LIMITED","gold","1","1","7","Iron Ore/Silver/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"PEOPLE'S MULTI- PURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Nickel/Anhydrite/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Equitable Zambian Mining and Minerals Cooperative Society","industrial_minerals","1","1","7","Fluorine-Fluorite/Quartz/Clay (General)","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Anahela Gold Mining Co-operative Society Limited","critical_battery","1","1","7","Lead/Manganese/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Zao Mining Cooperative Society Limited","gemstones","1","1","7","Quartz/Manganese/Rare EarthsElements","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"5 stars Multi Purpose Coopérative Society Limited","critical_battery","1","1","7","Sand and Gravel/Quartz/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Akainga Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Iron Ore/Lead/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"AIGLE MULTI-PURPOSE COOPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Quartz/Gold/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Upper Hands Mining Co-operative Society Limited","industrial_minerals","1","1","7","Quartz/Granite","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Buneme Multi-Purpose Cooperative Society Limited","gold","1","1","7","Iron Ore/Lead/Silver","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Bwesu Ubunonshi Multi-Purpose Cooperative Society Limited","critical_battery","1","1","7","Tantalum/Tin/Rare EarthsElements","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Albino Multipurpose Cooperative Society Limited","gemstones","1","1","7","Quartz/Manganese/Limestone (General)","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Beunasha Multi Purpose Cooperative Society Limited","critical_battery","1","1","7","Lead/Tin/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"CHIHAFE MULTI PURPOSE  CO-OPERATIVE","critical_battery","1","1","7","Manganese/Rhodium/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Twaboola Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Iron Ore/Lead/Nickel","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Chimwelelende Mining Cooperative LTD","gold","1","1","7","Mineral Sands/Quartz/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Chetu Multi-Purpose Co-Operative Society Limited","gemstones","1","1","7","Silver/Quartz/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"speedy waters mining cooperative society ltd","critical_battery","1","1","7","Manganese/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Benechishi Mining Co-operative Society Limited","critical_battery","1","1","7","Rare EarthsElements/Feldspar/Chromium","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Balume Mining Co-operative Society Limited","gemstones","1","1","7","Gold/Iron Ore/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Wabanganya Multipurpose Cooperative Society","gemstones","1","1","7","Nickel/Magnesium (Brucit)/Rare EarthsElements","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Bachoba Multi-Purpose Co-operative Society Limited","critical_battery","1","1","7","Silica/Manganese/Silver","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"AZMI MINING CO OPERATIVE SOCIETY LIMITED","gold","1","1","7","Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Twaima Youth Muilti Purpose Co-operative","critical_battery","1","1","7","Manganese","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Doug-Morgar Mult-Purpose Co-operative Society","gemstones","1","1","7","Tantalum/Tin/Amethyst","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Shalom Wesu Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Sand/Manganese/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"SINANKUMBI MINING COOPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Tin/Gemstones/Tourmaline","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Doug Morgar Multi Purpose Co-operate Society","gemstones","1","1","7","Amethyst","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Siavonga Mining Multi-Purpose Co-operative Limited","gemstones","1","1","7","Gold/Silica/Tantalum","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"EASTNET MULTI-PURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Nickel/Anhydrite/Zinc","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Eagle Eye Mining Multi-purpose Co-operative Society","gemstones","1","1","7","Lead/Iron Ore/Silica","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Save Lives Multi- Purpose Co-operative Limited","critical_battery","1","1","7","Gold/Manganese/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"DIGI MINERALS MULTI-PURPOSE COOPERATIVE","gold","1","1","7","Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"SHIWANGANDU MULTI PURPOSE CO-OPERATIVE SOCIETY LIMITED","critical_battery","1","1","7","Manganese/Quartz/Limestone (General)","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Vyane Mult-Purpose Co-operative Society Limited","critical_battery","1","1","7","Manganese/Lead/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"BOMAS Mining Cooperative Society","gemstones","1","1","7","Silver/Tourmaline/Gold","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"BOMBA ULYA MINING COOPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Quartz/Sugilite/Tourmaline","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"TWAYUKA MINING COOPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Limestone (General)/Lead/Nickel","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"TWEENDE CHILOBE MULTIPURPOSE COOPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Mica/Fluorine-Fluorite/Tourmaline","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Collussion Mining Co-cooperative Society Limited","gemstones","1","1","7","Manganese/Lithium/Lead","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Sianzovu Community Mining Cooperative","gemstones","1","1","7","Quartz/Nickel/Manganese","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"VINEYARD MULTI-PURPOSE CO-OPERATIVE SOCIETY LIMITED","gold","1","1","7","Gold/Silver/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Broadway Mining Cooperative Society Limited","gold","1","1","7","Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Vic-Chafi MultIpurpose Cooperative Society Limited","gemstones","1","1","7","Quartz/Aquamarine","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Chibulu Tulipamo Mining Co-operative Society Limited","gemstones","1","1","7","Manganese/Zinc/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mango Mining Co-operative Society Limited","critical_battery","1","1","7","Gold/Nickel/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kambishi Multi-purpose Co-operative Society Limited","gemstones","1","1","7","Emerald/Copper/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mandala Multi-purpose Co-operative Society Limited","industrial_minerals","1","1","7","Quartz","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mazalazambwe Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Iron Ore/Lead/Nickel","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mapatizya Central Multi-Purpose Cooperative Society","gemstones","1","1","7","Lithium/Lead/Mica","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kajila-Nkeke Mining Multi-Purpose Co-Operative Society Limited","critical_battery","1","1","7","Nickel/Magnesite/Quartz","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Kalonga Community Muilti-Purpose Co-operative Society","critical_battery","1","1","7","Silver/Tin/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Kadesh Multi Purpose Cooperative Society Limited","industrial_minerals","1","1","7","Feldspar/Clay (General)","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"KAFWA MULT-PURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Gold/Mineral Sands/Amethyst","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mkumbacanoka Mining Co-operatives  Society Limited","gemstones","1","1","7","Silica/Quartz/Manganese","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"MUKUNGULE MULTI PURPOSE CO-OPERATIVE SOCIETY LIMITED","gold","1","1","7","Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mufwashi New Multi-purpose Co-operative Society Limited","gold","1","1","7","Lead/Zinc/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mulev Mining And Agricultural Multi Purpose Cooperative Society Limited","gemstones","1","1","7","Manganese/Quartz/Silica","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mukuni Mining Cooperative Society Limited","gemstones","1","1","7","Tourmaline/Zinc/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mukuta Bulongo Multipurpose Society Limited","gold","1","1","7","Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kamaluba Youth Mult-purpose Cooperative Society Limited","gold","1","1","7","Iron Ore/Lead/Silver","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kalumbila Multi-purpose Cooperative Society","gemstones","1","1","7","Limestone (General)/Iron Ore/Anhydrite","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"kachiba-biyo Multipurpose Cooperative Society","gemstones","1","1","7","Lithium/Gemstones/Tin","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mugwazo Mining Co-operative Society Limited","gold","1","1","7","Gold/Copper/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Mukala Mineral  Co-operation Society Limited","gold","1","1","7","Gold/Copper/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kakafita Multi-Purpose Co-Operative Society Limited","base_metals","1","1","7","Iron Ore/Zinc/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Chau Ubuntu Multi- Purpose Co-operative Limited","gemstones","1","1","7","Iron Ore/Anhydrite/Gypsum","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Southern Minerals And Mining Cooperative Society Limited","gemstones","1","1","7","Quartz/Manganese/Lithium","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Tukali Youth Multi-Purpose Co-operative","gold","1","1","7","Gold/Copper/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Central Youth Muilt Purpose Cooperative Society Limited","critical_battery","1","1","7","Zinc/Manganese/Lead","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Central Province Co-operative Union Limited","critical_battery","1","1","7","Manganese/Lead/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Chisokota Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Lead/Manganese/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Chipe Chipe Youth Multi-Purpose Co-operative Society Limited","gold","1","1","7","Gold/Copper/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Sitepe Cooperative Society Limited","gemstones","1","1","7","Manganese/Malachite/Nickel","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Southern Minerals Co-operative Society Limited","construction_materials","1","1","7","Sand and Gravel/Granite/Crushed/Broken Stone","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Chimwelelende Mining Cooperative Society Limited","gemstones","1","1","7","Quartz/Sand and Gravel/Granite","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"TILITOSE CHIMUTENGO MULTIPURPOSE COOPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Nickel/Anhydrite/Zinc","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Chao Chikupi Mining Cooperative","gold","1","1","7","Gold/Copper/Cobalt","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Centralpit Learn Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Silica/Graphite","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Mindende Mult-purpose Cooperative Society Limited","gold","1","1","7","Silver/Zinc/Gold","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Chakumbila Mining Co-operative Society Limited","gold","1","1","7","Iron Ore/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Tunjile Multi-Purpose Co-operative Society Limited","base_metals","1","1","7","Malachite/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Tusuwa Multipurpose Cooperative Society Limited","gemstones","1","1","7","Beryllium/Feldspar/Amethyst","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Tumelo Mining Cooperative Society Limited","gemstones","1","1","7","Iron Ore/Gold/Quartz","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"CHAKWANGA MULTI PURPOSE COOPERATION SOCIETY LIMITED","critical_battery","1","1","7","Gold/Manganese/Cobalt","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Chakumbila Multi-Purpose Co-operative Society Limited","gold","1","1","7","Iron Ore/Gold/Copper","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Twavwane Multi-Purpose Cooperative Society Limited","gemstones","1","1","3","Emerald/Diamond/Manganese","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"City Multipurpose Cooperative Society","gemstones","1","1","3","Tin/Tantalum/Tungsten","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Doug Morgar Multi-Purpose Co-operative Society Limited","gemstones","1","1","3","Amethyst","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kafunyi Mining Multi purpose Cooperative Society Limited","gold","1","1","3","Gold/Copper","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"Musanza Exploration and Mining Co-operative Society Limited","construction_materials","1","1","2","Stone/Granite","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","yes","no"
"KUKUMBA NA KULIMA MULTI-PURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","1","1","2","Palladium/Nickel/Manganese","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Champalesa Nemwine Multi-Purpose Co-operative Limited","gemstones","1","1","2","Gold/Mineral Sands/Amethyst","1","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
"Kachoma Mining Cooperative Society Limited","gemstones","1","1","2","Silver/Nickel/Manganese","0","0","NOT_FOUND_IN_PACRA_SEARCH","registers with Registrar of Cooperatives, not PACRA","no","no"
