"query_holder","segment","entity_name","entity_number","registration_date","nature_of_business","entity_status","company_type","isic_classification","exact_name_match","annual_return_filed","beneficial_owner_declared","nominal_capital_ok","annual_return_reason","beneficial_owner_reason","nominal_capital_reason"
"Victory Resources Limited","base_metals","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","True","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"Vienco Industries Limited","gemstones","VIENCO INDUSTRIES LIMITED","120220037782","18/08/2022","Manufacture of basic precious and other non-ferrous metals","Active","Local Company - Limited by Shares","2420. Manufacture of basic precious and other non-ferrous metals","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/08/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Viet Zam Diversified Development Corporation Limited","gemstones","VIET-ZAM DIVERSIFIED DEVELOPMENT CORPORATION LIMITED","120220034868","20/06/2022","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","False","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 14/06/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Vietnam Zambia Corporation Limited","critical_battery","VIETNAM-ZAMBIA CORPORATION LIMITED","120230055343","23/08/2023","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","False","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 17/08/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Vikram Investments Limited","industrial_minerals","VIKRAM  INVESTMENTS  LIMITED","120090078230","15/04/2009","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","False","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 14/04/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"VINEYARD MULTI-PURPOSE CO-OPERATIVE SOCIETY LIMITED","gold","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Vinmic Investments Limited","critical_battery","VINMIC INVESTMENTS LIMITED","120110090246","14/02/2011","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Active","Local Company - Limited by Shares","4759. Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/03/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Virgin Blue Company","critical_battery","VIRGIN BLUE COMPANY LIMITED","120070068673","20/09/2007","Other transportation support activities","Active","Local Company - Limited by Shares","5229. Other transportation support activities","False","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 01/04/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Virunga Biotech and Mining Limited","critical_battery","VIRUNGA BIOTECH MINING LIMITED","120190003954","21/05/2019","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","False","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 01/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Vista Cotlands Consultants Limited","critical_battery","VISTA COTLANDS CONSULTANTS LIMITED","120180000968","02/02/2018","Management consultancy activities","Active","Local Company - Limited by Shares","7020. Management consultancy activities","True","1","0","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 30/03/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Vitreous Minerals Limited","gemstones","VITREOUS MINERALS LIMITED","120180008983","23/10/2018","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 20/10/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Vitumbo Investments Limited","gemstones","VITUMBO INVESTMENTS LIMITED","120180001978","07/03/2018","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/03/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Vorezat Investment Limited","gemstones","VOREZAT INVESTMENT LIMITED","120230050190","07/05/2023","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Vortan Innovations Limited","critical_battery","VORTAN INNOVATIONS LIMITED","120210017806","29/06/2021"," Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/05/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Vortexzam Import and Export Limited","gemstones","VORTEXZAM IMPORT & EXPORT LIMITED","120140128295","10/12/2014","Other transportation support activities","Active","Local Company - Limited by Shares","5229. Other transportation support activities","False","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 29/12/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"VS Construction & Mining Services Limited","critical_battery","VS CONSTRUCTION & MINING SERVICES LIMITED","120080075175","02/10/2008","Private security activities","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","0","1",,,
"Vundu Minerals Limited","critical_battery","VUNDU MINERALS LIMITED","120200007739","16/09/2020","Casting of non-ferrous metals","Active","Local Company - Limited by Shares","2432. Casting of non-ferrous metals","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 16/09/2021. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Vyane Mult-Purpose Co-operative Society Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"W.J.W Construction Limited","gold","W.J.W CONSTRUCTION LIMITED","120150131194","07/04/2015","Construction of buildings","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","0","0",,,
"W.M.M Investments Limited","critical_battery","W.M.M INVESTMENTS LIMITED","119940032069","10/08/1994","","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","0","1",,,
"Wabanganya Multipurpose Cooperative Society","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Wacha Mining Limited","gemstones","WACHA MINING LIMITED","120190002763","03/04/2019","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 03/04/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"WALALAHA INVESTMENT LIMITED","gold","WALALAHA INVESTMENT LIMITED","120241011189","14/08/2024","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 14/08/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Walicho Enterprise Limited","critical_battery","WALICHO ENTERPRISE LIMITED","120190005652","22/07/2019","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/03/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Walson General Dealers Limited","gold","WALSON GENERAL DEALERS LIMITED","120220031939","27/04/2022","Construction of buildings","Active","Local Company - Limited by Shares","4100. Construction of buildings","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 02/06/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Wamar Mining Consultancy Limited","gemstones","WAMAR MINING CONSULTANCY LIMITED","120241012918","17/09/2024","Other professional, scientific and technical activities n.e.c.","Active","Local Company - Limited by Shares","7490. Other professional, scientific and technical activities n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 15/09/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Wana Emerald Mining Company Ltd","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Wandsworth Company Limited","gold","WANDSWORTH COMPANY LIMITED","120210014973","15/04/2021","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 06/04/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Wang Sheng Mining Limited","gemstones","WANG-SHENG MINING COMPANY LIMITED","120030051676","06/02/2003","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","False","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 06/02/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"WANHAO MINING ZAMBIA LIMITED","gemstones","WANHAO MINING ZAMBIA LIMITED","120241016092","21/11/2024","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 15/11/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Wanshida International Investments Company Limited","base_metals","WANSHIDA INTERNATIONAL INVESTMENTS COMPANY LIMITED","120241016775","06/12/2024","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 06/12/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"WANTU RESOURCES COMPANY LIMITED","gold","WANTU RESOURCES COMPANY LIMITED","120241012999","19/09/2024","Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Active","Local Company - Limited by Shares","4741. Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 19/09/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Wash Zambia Limited","gold","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","True","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"Waxman Enterprises Limited","critical_battery","WAXMAN  ENTERPRISES LIMITED","120130116760","29/10/2013","Freight transport by road","Active","Local Company - Limited by Shares","4923. Freight transport by road","False","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/04/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Wayne Investment Limited","critical_battery","WAYNE INVESTMENT LIMITED","120210014654","07/04/2021","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 07/04/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Wealth Front Resources Limited","critical_battery","WEALTH FRONT RESOURCES LIMITED","120241011353","17/08/2024","Remediation activities and other waste management services","Active","Local Company - Limited by Shares","3900. Remediation activities and other waste management services","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 15/08/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Wealthfields Minerals And Metals Limited","critical_battery","WEALTHFIELDS MINERALS AND METALS  LIMITED","120230045428","01/02/2023","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","False","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/01/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"WEALTHYBAY MINING COMPANY LIMITED","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Webs Electrical Engineering Limited","critical_battery","WEBS ELECTRICAL ENGINEERING LIMITED","120070065668","27/02/2007","Materials recovery","Active","Local Company - Limited by Shares","3830. Materials recovery","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 29/04/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Wecare Resources Limited","critical_battery","WECARE RESOURCES LIMITED","120230044225","09/01/2023","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 06/01/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Weevol Limited","critical_battery","WEEVOL LIMITED","120130109112","01/02/2013","Construction of buildings","Inactive","Local Company - Limited by Shares","4100. Construction of buildings","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/01/2014. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"WEIJU INVESTMENT LIMITED","gemstones","WEIJU INVESTMENT LIMITED","120230061661","29/12/2023","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 28/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Weleyange Investment Limited","gemstones","WELEYANGE INVESTMENT LIMITED","120220040990","26/10/2022","Manufacture of other porcelain and ceramic products","Active","Local Company - Limited by Shares","2393. Manufacture of other porcelain and ceramic products","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Westate Zambia Limited","critical_battery","WESTATE (ZAMBIA) LIMITED","120200001152","07/02/2020","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","False","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Whirlpool Minerals Limited","critical_battery","WHIRLPOOL MINERALS LIMITED","120190000998","01/02/2019","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/01/2020. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"White Lion Mining Limited","critical_battery","WHITE LION MINING LIMITED","120230051774","08/06/2023","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 08/06/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"White Rock Marketing Limited","critical_battery","WHITE ROCK MARKETING LIMITED","120200004841","19/06/2020","Other retail sale in non-specialized stores","Active","Local Company - Limited by Shares","4719. Other retail sale in non-specialized stores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 19/06/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"WHITE STALLION MINING LIMITED","gemstones","WHITE STALLION MINING LIMITED","120251018257","06/01/2025","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/06/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"WIDE FOCUS LIMITED","gemstones","WIDE FOCUS LIMITED","120170005037","05/07/2017","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","1","0","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 30/06/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Wila Mining Solutions Limited","critical_battery","WILA MINING SOLUTIONS LIMITED","120241008367","12/06/2024","Construction of buildings","Active","Local Company - Limited by Shares","4100. Construction of buildings","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Wildrock Resources Limited","gemstones","WILDROCK RESOURCES LIMITED","120210016429","21/05/2021"," Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Willianda Investments Limited","critical_battery","WILLIANDA INVESTMENTS LIMITED","120150130776","20/03/2015","Processing and preserving of fruit and vegetables","Active","Local Company - Limited by Shares","1030. Processing and preserving of fruit and vegetables","True","1","0","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 30/03/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Wilna Enterprises Limited","critical_battery","WILNA ENTERPRISES LIMITED","120200005511","16/07/2020","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 15/07/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Wincyril Enterprises Limited","gemstones","WINCYRIL ENTERPRISES LIMITED","120180009060","26/10/2018","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/01/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Winkalu Limited","gold","WINKALU LIMITED","120190007771","01/10/2019","Mining of iron ores","Active","Local Company - Limited by Shares","0710. Mining of iron ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 25/09/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Winter Libohole Limited","gemstones","WINTER LIBOHOLE LIMITED","120150134731","12/08/2015","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/08/2021. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Winzan Mining Limited","critical_battery","WINZAN MINING LIMITED","120200004437","09/06/2020","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 09/06/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"WI-PAY FINANCE LIMITED","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Wise Focus Mining Limited","gemstones","WISE FOCUS MINING LIMITED","120080073441","26/06/2008","Other transportation support activities","Active","Local Company - Limited by Shares","5229. Other transportation support activities","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 24/06/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Wise Suppliers Company Limited","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"WISKANSIK INVESTMENT LIMITED","gemstones","WISKANSIK INVESTMENT LIMITED","120251018924","20/01/2025","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 10/01/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Wizamar General Dealers Ltd","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Wizmanso Mineral  Resources Limited","gold","WIZMANSO MINERAL RESOURCES  LIMITED","120210014294","25/03/2021","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","False","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 22/03/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Woodpeckers Mining Company Limited","critical_battery","WOODPECKERS MINING COMPANY LIMITED","120170005410","18/07/2017","Mining of iron ores","Active","Local Company - Limited by Shares","0710. Mining of iron ores","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/07/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Workman Construction Zambia Limited","critical_battery","WORKMAN CONSTRUCTION ZAMBIA LIMITED","120070066969","01/06/2007","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Active","Local Company - Limited by Shares","4759. Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/03/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Workman Mining Industries Zambia Limited","critical_battery","WORKMAN MINING INDUSTRIES ZAMBIA LIMITED","120070066022","27/03/2007","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Active","Local Company - Limited by Shares","4759. Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/03/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"World Class Mineral Venture Limited","critical_battery","WORLD CLASS MINERAL VENTURES LIMITED","120180001083","06/02/2018","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","False","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 05/02/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Worthy Ventures Limited","critical_battery","WORTHY VENTURES LIMITED","120220029833","15/03/2022","Mixed farming","Active","Local Company - Limited by Shares","0150. Mixed farming","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/03/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Wushuang Mining Company Limited","gemstones","WUSHUANG MINING COMPANY LIMITED","120241008785","21/06/2024","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 21/06/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
