"name","licence_type","town","expiry"
"DIVINE SERVICES ZAMBIA","Final clearance only","CHIRUNDU","31.12.2024"
"DMAN INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"DODEMIA INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"DONBEE CARGO SERVICES","Final clearance only","LUSAKA","31.12.2026"
"DONGTONG INVESTMENTS LIMITED","Final clearance only","KITWE","31.12.2025"
"DOUBLE A.R CARGO MASTERS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"DOUBLE C LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"DOUBLE PORTION INVESTMENTS LIMITED","Final clearance + RIT","NAKONDE","31.12.2024"
"DSV AIR AND SEA LIMITED","Full licence","LUSAKA","31.12.2024"
"DUMEZWANI LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"DUNDU SERVICES LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"DYCKHOFF GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"DYNAKING CUSTOMS SERVICES","Final clearance only","CHINGOLA","31.12.2025"
"DYNAMIC LINKING SOLUTIONS LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"EARLY BIRD CLEARING & FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"EASIONE INVESTSMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"EASTGATE CARGO SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"EASTLIGHT ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"EASTLINE LOGISTICS AND CARGO MANAGEMENT LIMITED","Final clearance only","NAKONDE","31.12.2025"
"EASTRISE FREIGHTWAYS LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"EASTVIEW CARGO LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"EASTWING LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"EASTWOOD LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"EASY WAYS INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"EBENEZER ESTATES AND LOGISTICS LIMITED","Final clearance only","MUFULIRA","31.12.2025"
"EDWARDS MUTU SI DECO LIMITED","Final clearance only","LUSAKA","31.12.2024"
"EDWASON CARGO AND LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"EG & M CARGO SERVICES","Final clearance only","LUSAKA","31.12.2024"
"EL EDEN TRADING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ELGEM CONTRACTORS AND GENERAL SUPPLY LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ELIMOAS CORPORATION LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ELIS FREIGHT AND GENERAL DEALERS LIMITED","Final clearance only","CHIPATA","31.12.2024"
"ELISTHER FREIGHT LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"ELITE INTERGRATES COMMODITY LIMITED ONLY com","Final clearance only","LUSAKA","31.12.2024"
"ELKANAH LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"EMACHA FREIGHT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"EMALOS INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"EMARK FREIGHT FORWARDING LIMITED","Final clearance only","NDOLA","31.12.2024"
"EMB LOGISTICS CLEARING AND FORWARDIG LIMITED","Final clearance only","LUSAKA","31.12.2025"
"EMEM LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"EMERGSPARR LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"EMLATE INVESTMENTS LIMITED","Final clearance only","KITWE","31.12.2025"
"EMMADU FREIGHTWAYS INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"EMMAGARS LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"EMOREANJE LIMITED","Final clearance only","NAKONDE","31.12.2026"
"EMPRAL INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"EMUSODES CLEARING AND FORWARDING LIMITED","Final clearance only","NAKONDE","31.12.2025"
"ENCHANTING TRANSPORT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ENSIGN CLEARING AND FORWARDING LIMITED","Final clearance only","KAZUNGULA","31.12.2024"
"ERECA DEVELOPERS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ERIBENJO CLEARING FORWARDING AND GENERAL DEALERS","Final clearance only","NAKONDE","31.12.2025"
"ESCORT MASTERS MOVE WITH PURPOSE LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"ESCORT TRANSPORT AND LOGISTICS SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ESSE CLEARING LIMITED","Full licence","LIVINGSTONE","31.12.2026"
"ESTRATA FREIGHT LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"ETHAN FREIGHT LIMITED","Final clearance only","NDOLA","31.12.2026"
"ETHASHER CLEARING AND FORWARDING LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"EUGEN CARGO SERVICES LIMIT-","Final clearance only","NAKONDE","31.12.2024"
"EUNIE NET CONNECTIONS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"EUPHRATES IMPORT AND EXPORTS LIMITED RIT ONLY com","Final clearance only","LUSAKA","31.12.2024"
"EURO CLEARING SERVICES","Final clearance only","LUSAKA","31.12.2026"
"EURODRIFT CUSTOMS CLEARING AND FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"EUSTAR FREIGHT AND LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"EVANAMU INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"EVANAMU MASTERS CLEARING AND FORWARDING","Final clearance only","LIVINGSTONE","31.12.2024"
"EVERMORE FREIGHT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"EVERYDAY MESSENGER COURIER SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2025"
"EVIO CUSTOMS CLEARING AND FORWARDING LIMITED ONLY PREMISES SIAVONGA","Final clearance only",,"31.12.2024"
"EVOLUTION LOGISTICS AND SOLUTION LIMITED","Full licence","LUSAKA","31.12.2025"
"EXCEEDINGLY AMAZED LOGISTICS INTERNATIONAL LIMITED","Final clearance only","NAKONDE","31.12.2025"
"EXCELL CARGO AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"EXCESS CARGO LIMITED","Final clearance only","LUSAKA","31.12.2025"
"EXCITED LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"EXODUS GREAT A LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2024"
"EXTRALINK INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"FACEG CLEARING AND FORWARDING LIMITED","Final clearance only","KITWE","31.12.2025"
"FACILE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"FADLEX INVESTMENTS LIMITED","Final clearance only",,"31.12.2026"
"FALCON MOVERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"FARMLER TRADING LIMITED","Final clearance only",,"31.12.2026"
"FASTMILE LOGISTICS LIMITED","Final clearance only","LUANSHYA","31.12.2025"
"FEDEX EXPRESS ZAMIA LIMITED","Final clearance only","LUSAKA","31.12.2026"
"FEI YUE EXPRESS COMPANY LIM-","Final clearance only","LUSAKA","31.12.2024"
"FEJO LOGISTICS LIMITED","Final clearance only","KAZUNGULA","31.12.2025"
"FEKASH FREIGHT FORWARDERS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"FELKEN FREIGHT LOGISTICS LIMITED","Final clearance only",,"31.12.2026"
"FELTRA SOLUTIONS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"FENKO INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"FERHODA CLEARING AND FORWARDING COMPANY","Final clearance only","NAKONDE","31.12.2024"
"FEYMARKS CARGO LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"FIKACHILESHE LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"FILM FREIGHT ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"FIRST LINE LOGISTICS AND CARGO MANAGEMENT ZAMBIA LIMITED","Final clearance only","NDOLA","31.12.2024"
"FIT TRANSPORT AND LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"FLASHKING LOGISTICS LIMITED","Final clearance only","KATIMA","31.12.2024"
"FLEMSIM CLEARING & FORWARDING COMPANY LTD","Final clearance only","MPULUNGU","31.12.2024"
"FLOPEL INVESTMENT LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"FLOSSIE CLEARING AND FORWARDING LIMITED","Final clearance only","KASAMA","31.12.2026"
"FLOURISHING CARGO LOGISTICS LIMITED RIT","Final clearance only",,"31.12.2026"
"FLOW LOGISTICS SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"FLYBRAND INVESTMENTS COMPANY LIMITED","Final clearance only","NAKONDE","31.12.2024"
"FOCUS FREIGHT FORWARDERS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"FORMED FREIGHT AGENCIES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"FRAGERHEN GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"FRAME PARK CARGO SERVICES","Final clearance only",,"31.12.2026"
"FRANKTECH IMPORT AND EXPORT LIMITED","Final clearance only","CHILILABOMBWE","31.12.2024"
"FRASTE CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"FREDMIMI INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"FREE SIMBA LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"FREELOAD CARO FREIGHT LIMITED","Full licence",,"31.12.2026"
"FRELIAS INVESTMENTS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2026"
"FREMUD CARGO MANAGEMENT LIMITED ONLY gmail.com","Final clearance only","LUSAKA","31.12.2025"
"FREPANK FREIGHT AND FORWARDING LIMITED","Final clearance only","NDOLA","31.12.2025"
"FRESHLUX EXPRESS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"FRIFOS GENERAL DEALERS AND LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"FRONT MOVERS LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"FRONTWAYS CLEARING AND FORWARDING LIMITED","Final clearance only","KALOMO","31.12.2024"
"FUTURECO INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"FUTUREMAT FREIGHT SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"FUTUREWAYS COMPANY LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"GAME ON CARGO FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"GAP CARGO MANAGEMENT AND LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2024"
"GAS FREIGHT CLEARING AND FORWARDING LIMITED","Final clearance only","CHILILABOMBWE","31.12.2025"
"GATWICK CLEARING AND FORWARDING (Z) LIMITED","Final clearance only","LUSAKA","31.12.2025"
"GAVISHI LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"GDC LOGISTICS ZAMBIA LIMITED","Final clearance only","KITWE","31.12.2026"
"GENIUS AGENTS FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"GENTLE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"GEOSIMS CLEARING AND FORWARDING LIMITED","Final clearance only","NAKONDE","31.12.2025"
"GERSH CLEARING AND FORWARDING LIMITED","Final clearance only",,"31.12.2026"
"GESMA CLEARING AND FOWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"GETON INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"GETSIL INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"GEZICH INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"GIANT WORLDWIDE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"GIGATT GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"GITACHI INVESTMENTS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2026"
"GL AFRICA ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2026"
"GLANDIPA K INVESTMENTS LIMITED","Final clearance only","SESHEKE","31.12.2024"
"GLAXO FREIGHT SERVICE LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"GLOBAL LOGISTICS LIMITED","Full licence","LUSAKA","31.12.2026"
"GLOBAL SHIPPING LINE ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"GLORYLIGHT INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"GODMENT LOGISTICS AND SOLUTIONS LIMITED","Final clearance only","NDOLA","31.12.2024"
"GOD-WIN CARGO CARE LIMITED","Final clearance only","LUSAKA","31.12.2024"
"GOLAN IMPORT AND EXPORT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"GOLDEN POWER SECURITY AND CLEARING SERVICES","Final clearance only","LUSAKA","31.12.2026"
"GOLDENGATE LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2026"
"GOLDENHUT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"GOMES HAULAGE LIMITED","Final clearance only","NDOLA","31.12.2024"
"GOMEZGANI ONE TOUCH LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"GOMLEX GENERAL DEALERS LIMITED","Final clearance only","SESHEKE","31.12.2025"
"GOMMS INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"GOOD DAY FREIGHT SERVICES","Final clearance only","LUSAKA","31.12.2024"
"GOOD HOPE CLEARING AND FORWARDING LIMITED","Final clearance only",,"31.12.2026"
"GOOD RIDGE CORPORATION","Final clearance only","LUSAKA","31.12.2024"
"GOSHLAND INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"GRAPET CARGO AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"GRAPNEL LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"GRATO CLEARING AND FORWARDING LIMITED",,"KAFUE","31.12.2024"
"GREAT EQUATOR CARGO SERVICES","Final clearance only","CHIRUNDU","31.12.2024"
"GREAT WHEELS FREIGHT MANAGEMENT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"GREAT WOFFS LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"GREATER GLORY AND WORKS LOGISTIX LIMITED","Final clearance only","NAKONDE","31.12.2024"
"GREATLAKES INVESTMENTS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2024"
"GREEN ARROW FREIGHT FORWARDERS LIMITED","Final clearance only",,"31.12.2026"
"GREEN FIELD CARGO MANAGEMENT LIMITED","Final clearance only","NAKONDE","31.12.2026"
"GREENLANE INVESTMENTS LIMITED ONLY com","Final clearance only",,"31.12.2025"
"GREENVIEW LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"GROTECH LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"GUMBA LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"GW SPY FREIGHT SERVICES","Final clearance only","LIVINGSTONE","31.12.2026"
"HAGIOSMOS INVESTMENT LIMITED","Final clearance only","KALULUSHI","31.12.2026"
"HAKIMI CARGO LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"HAMLA GENERAL DEALERS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"HAMLITON LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"HAMMER LOGISTICS LIMITED","Final clearance only","MUFULIRA","31.12.2026"
"HANTS INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"HAPMAX INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"HARDROCK LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"HARRISON SHIPPINGLINE LIMITED","Final clearance only","LUSAKA","31.12.2025"
"HECTIC LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"HELLMANN WORLDWDE LOGISTICS ZAMBIA ONLY com","Final clearance only",,"31.12.2026"
"HELLO LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"HENBRIDGE CONTRUCTION AND FORWARDING LIMITED","Final clearance only","NAKONDE","31.12.2026"
"HENSBURG LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2024"
"HEROCEAN LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"HIGH SEAS LOGISTICS LIMITED","Final clearance only",,"31.12.2025"
"HILL AND DELAMAIN (ZAMBIA) LIMITED","Full licence","LUSAKA","31.12.2026"
"HILLBAY LOGISTICS LIMITED","Final clearance only","CHIPATA","31.12.2025"
"HIYAMI FREIGHT SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"HMN CLEARING AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"HND TRADING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"HOJAGA CONSULTANTS CLEARING AND FORWARDING LIMITED","Final clearance only","MUMBWA","31.12.2024"
"HOJEMA INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"HOKIMA CARGO LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"HOLDSWORTH GENERAL IMPORTS AND EXPORTS LIMITED","Final clearance only","MUFULIRA","31.12.2026"
"HONAM CLEARING AND GENERAL DEALERS LIMITED","Final clearance only","KASAMA","31.12.2025"
"HOP CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2026"
"HOPETECH FREIGHT LIMITED","Final clearance only","NAKONDE","31.12.2026"
"HORAMASA INVESTMENTS LIMITED ONLY com","Final clearance only","NAKONDE","31.12.2025"
"HOT POINT LOGISTICS LIMITED","Final clearance only","LUANSHYA","31.12.2024"
"HOT STAR LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ICLEAR XPRESS LIMITED","Full licence","NDOLA","31.12.2025"
"ICYPEED LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ILUKENI TAX CONSULTANCY LIMITED","Final clearance only","LUSAKA","31.12.2024"
"IMPACTWORTH CARGO LIMITED","Final clearance only","LUSAKA","31.12.2025"
"IMPALA TERMINALS ZAMBIA LIMITED","Full licence","NDOLA","31.12.2025"
"INDIGOLD ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"INFINITY CARGO CLEARING AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"INITIATIVE LOGISTICS COMPANY","Final clearance only","LIVINGSTONE","31.12.2025"
"INLAND INVESTMENTS LIMITED","Full licence","LUSAKA","31.12.2026"
"INSIGHT EXPRESS TROPICAL LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"INTAKE FREIGHT LIMITED","Full licence","LUSAKA","31.12.2024"
"INTEC LINERS LOGISTICS LIMITED","Final clearance only","KAZUNGULA","31.12.2025"
"INTEL LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"INTER BORDER SERVICES","Final clearance only","LUSAKA","31.12.2026"
"INTERBUSINESS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"INTERGLOBAL LOGISTICS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"INTERNJOINT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"INTERTRADE CONSULT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"INTERTRADE CONSULT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"INVESMU LOGISTICS LIMITED","Final clearance only","KASAMA","31.12.2025"
"IRONHAND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ISIBAYA LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ITEZHI TEZHI LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"IVYROSE EXPRESS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"J.N.S. INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"JACCECI INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"JACKANS INVESTMENTS LIMITED","Final clearance only","KASAMA","31.12.2024"
"JACOBLEO LOGISTICS LIMITED","Final clearance only","CHINGOLA","31.12.2025"
"JADE CLEARING & FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"JADE GLOBAL LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"JAFULEYA TRADING LIMITED","Final clearance only","NAKONDE","31.12.2025"
"JAGABAN LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"JAHOSALE (Z) LIMITED","Final clearance only","NAKONDE","31.12.2024"
"JAHOSALE INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"JALILA LOGISTICS LIMITED","Final clearance only","KAZUNGULA","31.12.2026"
"JAMADAS CARGO MASTERS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"JAMECH LOGISTICS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2025"
"JAMSYD INVESTMENTS LIMITED","Final clearance only","KITWE","31.12.2024"
"JANACK LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"JASIRI NETWORKS COMPANY","Final clearance only","LUSAKA","31.12.2025"
"JASMO LOGISTICS ZAMBIA LIMITED","Final clearance only","CHINGOLA","31.12.2026"
"JAXON INVESTMENT LIMITED","Final clearance only","NDOLA","31.12.2026"
"JB-GLEN TRADING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"JCC LOGISTICS AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"JEDIMO FREIGHT SERVICES","Final clearance only","LUSAKA","31.12.2025"
"JEHMAI SUPPLERS AND LOGISTICS LIMITED","Final clearance only",,"31.12.2026"
"JEKMAN MARTIME LIMITED","Final clearance only","LUSAKA","31.12.2024"
"JEMACK BUSINESS SOLUTIONS LIMITED","Final clearance only",,"31.12.2025"
"JEROMENONO INVESTMENTS LIMITED","Final clearance only","KITWE","31.12.2024"
"JEROSA TRADERS AND LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"JETTY CLEARING AND FORWARDING LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"JEXE TRADING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"JIMMY X ONE INVESTMENTS LIMITED","Full licence","LUSAKA","31.12.2024"
"JIMVIC FREIGHT LIMITED","Final clearance only","NAKONDE","31.12.2025"
"JOANNET INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"JODALI INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"JOESIRA INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"JOHCLEN ENTERPRISES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"JOHMUSS CAGO AND GENERAL DEALERS LIMITED RIT","Final clearance only",,"31.12.2026"
"JOINTNET CONTRUCTION COMPANY LIMITED","Final clearance only",,"31.12.2026"
"JOMA LOGISTICS LIMITED","Final clearance only","KITWE","31.12.2024"
"JORDANS GLOBAL NETWORKS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"JOSEPH AND LAWRENCE CARGO AND FREIGHT LIMITED ONLY NAKONDE","Final clearance only",,"31.12.2025"
"JOSETE CARGO AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"JOSUNS INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"JOYSALEM INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"JPM CLEARING AND LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"JPSM INNOVATIONS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"JURIPA CLEARING AND FORWARDING LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"JUSCARS SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2026"
"JUSHERP INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"JUSMO INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"JUSTEYS INVESTMENTS LIMITED","Final clearance only","CHIPATA","31.12.2025"
"JUSTIFIED CARGO SERVICES LIM-","Full licence","NDOLA","31.12.2024"
"KACHILU CIVIL ENGINEERING AND GENERAL DEALERS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"KADOZYA INVESTMENTS COMPANY LIMITED","Final clearance only","KALOMO","31.12.2026"
"KAIZEN FREIGHT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"KAJA CARGO LOGISTICS AND GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"KAJALILO CARGO LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"KAKOMBA LOADING AND OFFLOADING LIMITED","Final clearance only","KASUMBALESA","31.12.2025"
"KALEETE FREIGHT ZAMBIA LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"KALI JON GENERAL DEALERS AND CONSTRACTORS","Final clearance only",,"31.12.2026"
"KALITO CLEARING AND FORWARDING LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"KALOMOLETA INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"KALUS LIMITED","Final clearance only","NDOLA","31.12.2025"
"KAMBINJA FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"KAMBOLE CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"KAMEL FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"KAMMIC ENTERPRISES LIMITED","Final clearance only","NAKONDE","31.12.2026"
"KAMNAT LOGISTICS LIMITED","Final clearance only","KITWE","31.12.2024"
"KAMOST CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"KAMWAKA CLEARING LOGISTICS LIMITED","Final clearance only",,"31.12.2025"
"KANANGU GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"KANANI INVESTMENTS LIMITED","Final clearance only","KITWE","31.12.2025"
"KANCHBURG SERVICES LIMITED","Final clearance only","MPIKA","31.12.2024"
"KANCHEMAX CLEARING AND FORWARDING LIMITED","Final clearance only","KAFUE","31.12.2025"
"KANCOLD INVESTMENT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"KANG INVESTMENT LIMITED","Final clearance only","SESHEKE","31.12.2026"
"KANYANGA FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"KAPCHI CAPITAL MINING IMPORT AND EXPORT CLEARING","Final clearance only","LIVINGSTONE","31.12.2024"
"KAPEGO LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"KARLINE ENTERPRISES LIMITED","Final clearance only","NDOLA","31.12.2025"
"KARTROCK INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"KASANGA ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"KASHEMBE FISH FARM LIMITED","Final clearance only",,"31.12.2026"
"KASINJA CLEARING AND FORWARDING LIMITED","Final clearance only","CHONGWE","31.12.2025"
"KASO MANAGEMENT SERVICES","Final clearance only","NAKONDE","31.12.2026"
